0,251,251,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30001
1,2,2,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30002
2,184,184,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30003
3,79,79,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30004
4,175,175,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30005
5,97,97,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30006
6,50,50,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30007
7,23,23,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30008
8,26,26,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30009
9,189,189,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30010
10,179,179,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30011
11,28,28,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30012
12,245,245,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30013
13,9,9,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30014
14,77,77,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30015
15,212,212,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30016
16,40,40,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30017
17,170,170,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30018
18,188,188,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30019
19,174,174,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30020
20,108,108,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30021
21,86,86,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30022
22,37,37,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30023
23,197,197,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30024
24,21,21,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30025
25,199,199,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30026
26,158,158,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30027
27,117,117,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30028
28,105,105,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30029
29,59,59,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30030
30,110,110,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30031
31,190,190,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30032
32,114,114,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30033
33,63,63,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30034
34,135,135,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30035
35,201,201,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30036
36,214,214,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30037
37,202,202,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30038
38,230,230,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30039
39,147,147,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30040
40,103,103,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30041
41,149,149,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30042
42,163,163,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30043
43,123,123,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30044
44,30,30,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30045
45,228,228,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30046
46,27,27,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30047
47,49,49,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30048
48,67,67,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30049
49,208,208,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30050
50,177,177,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30051
51,34,34,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30052
52,137,137,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30053
53,102,102,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30054
54,210,210,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30055
55,74,74,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30056
56,51,51,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30057
57,140,140,any,0,7,3601,-1,0.07,0.05,batch,0.9,deployment,1,0,average,30058
58,241,241,any,0,1,3601,-1,0.07,0.05,free,0.5,deployment,1,0,average,30059
59,64,64,any,0,11,3601,-1,0.07,0.05,prod,1,deployment,1,0,average,30060
